protocol,payload_profile,stage_concurrency,vus,samples,latency_avg_mean_ms,latency_avg_median_ms,latency_avg_stdev_ms,latency_p95_mean_ms,latency_p95_median_ms,latency_p95_stdev_ms,throughput_mean_rps,throughput_median_rps,throughput_stdev_rps,total_failure_mean_pct,total_failure_median_pct,total_failure_stdev_pct,slow_failure_mean_pct,slow_failure_median_pct,slow_failure_stdev_pct,cpu_avg_mean_pct,cpu_avg_median_pct,cpu_avg_stdev_pct,cpu_peak_mean_pct,cpu_peak_median_pct,cpu_peak_stdev_pct,mem_used_mean_mb,mem_used_median_mb,mem_used_stdev_mb
REST,heavy,100,800,5,1354.0,1350.0,15.17,1262.0,1260.0,53.1,586.28,587.86,5.96,44.6,45.77,4.44,44.6,45.77,4.44,178.93,175.31,7.35,211.91,208.94,12.42,3887.2,3856.0,53.94
REST,heavy,100,1000,4,1687.5,1675.0,28.72,1250.0,1235.0,33.67,586.71,589.97,9.7,45.16,42.01,7.15,45.16,42.01,7.15,179.67,179.52,5.0,221.82,221.74,1.08,3878.25,3857.5,43.96
REST,heavy,150,100,4,204.45,204.09,1.16,209.66,209.62,0.2,496.47,500.22,8.57,0.0,0.0,0.0,0.0,0.0,0.0,144.95,144.6,2.05,181.52,180.54,23.45,3563.5,3529.5,80.93
REST,heavy,150,200,5,318.51,315.48,6.67,344.2,339.6,11.73,637.47,644.31,11.06,0.14,0.14,0.02,0.14,0.14,0.02,185.31,185.15,4.62,197.51,191.46,11.92,3655.2,3606.0,75.19
REST,heavy,150,400,5,655.23,651.9,7.98,691.38,688.22,9.24,614.19,616.72,7.86,0.66,0.66,0.06,0.66,0.66,0.06,180.98,183.77,5.19,207.75,213.79,16.74,3753.8,3708.0,70.13
REST,heavy,150,800,5,1356.0,1350.0,20.74,1254.0,1250.0,32.09,585.31,588.99,9.87,42.83,41.48,3.81,42.83,41.48,3.81,176.92,174.61,5.14,213.75,216.59,10.79,3850.6,3807.0,84.33
REST,heavy,150,1000,4,1685.0,1670.0,30.0,1242.5,1240.0,12.58,588.75,593.99,10.83,43.55,42.12,3.85,43.55,42.12,3.85,178.39,174.81,7.98,223.08,222.53,4.91,3818.0,3825.5,124.08
REST,heavy,10000,100,4,204.42,204.05,1.07,209.79,209.69,0.41,498.67,503.1,9.82,0.0,0.0,0.0,0.0,0.0,0.0,145.75,145.31,2.07,187.47,188.39,24.29,3496.25,3450.5,107.07
REST,heavy,10000,200,5,319.68,317.85,6.91,343.61,342.71,10.41,637.96,639.09,9.2,0.13,0.14,0.04,0.13,0.14,0.04,184.38,184.66,5.3,200.2,197.74,9.83,3619.4,3526.0,135.52
REST,heavy,10000,400,5,663.59,660.81,6.91,704.81,704.15,7.23,608.24,611.51,5.24,0.69,0.7,0.06,0.69,0.7,0.06,180.44,182.41,4.73,208.6,208.63,12.59,3692.4,3610.0,122.45
REST,heavy,10000,800,5,1354.0,1350.0,18.17,1246.0,1240.0,42.19,587.18,587.44,6.57,43.41,41.06,6.23,43.41,41.06,6.23,176.13,173.54,4.87,215.61,225.13,16.95,3799.4,3716.0,136.03
REST,heavy,10000,1000,4,1702.5,1700.0,26.3,1340.0,1345.0,93.45,582.35,582.29,9.87,64.36,65.25,20.47,64.36,65.25,20.47,180.03,177.5,9.5,221.19,223.93,6.93,3783.0,3734.0,103.48
REST,small,50,100,3,202.84,202.49,0.64,207.87,208.02,0.3,511.57,512.46,1.58,0.0,0.0,0.0,0.0,0.0,0.0,121.45,120.84,1.63,165.29,157.08,28.65,3593.33,3594.0,3.06
REST,small,50,200,4,247.9,245.94,7.79,268.24,265.17,10.82,833.32,841.55,30.41,0.03,0.03,0.03,0.03,0.03,0.03,184.19,184.94,2.38,214.6,209.05,15.92,3655.75,3621.0,72.87
REST,small,50,400,4,509.01,509.04,10.46,544.25,541.23,9.31,802.95,805.29,20.55,0.41,0.44,0.09,0.41,0.44,0.09,182.06,182.18,5.34,215.85,217.12,6.67,3715.75,3693.5,63.37
REST,small,50,800,4,1020.0,1020.0,8.16,1077.5,1075.0,9.57,785.88,787.85,10.34,26.96,25.65,4.94,26.96,25.65,4.94,178.4,176.64,4.22,213.94,214.31,4.2,3803.25,3772.5,68.78
REST,small,50,1000,3,1273.33,1270.0,5.77,1246.67,1230.0,56.86,783.67,784.81,2.99,60.59,54.75,13.01,60.59,54.75,13.01,177.55,174.65,6.36,212.09,212.85,1.85,3817.67,3819.0,7.09
REST,small,100,100,3,202.65,202.65,0.53,207.68,207.66,0.21,514.6,514.47,1.22,0.0,0.0,0.0,0.0,0.0,0.0,116.78,116.71,0.34,152.84,149.09,24.05,3611.0,3603.0,22.11
REST,small,100,200,4,243.69,244.0,2.64,262.65,263.02,3.24,850.71,847.63,11.24,0.03,0.04,0.02,0.03,0.04,0.02,182.84,183.2,1.5,214.31,215.69,18.87,3686.5,3635.0,105.69
REST,small,100,400,4,503.94,504.36,4.3,544.28,541.73,8.13,814.64,814.78,9.91,0.42,0.42,0.07,0.42,0.42,0.07,183.32,184.19,5.27,211.23,210.45,8.61,3745.5,3699.5,99.14
REST,small,100,800,4,1004.58,1005.0,6.3,1060.0,1065.0,14.14,798.69,799.86,4.71,42.84,32.1,24.66,42.84,32.1,24.66,176.03,175.53,4.52,211.88,210.42,4.52,3831.75,3789.0,94.37
REST,small,100,1000,3,1270.0,1270.0,20.0,1133.33,1100.0,66.58,788.89,789.08,11.67,30.25,22.03,15.06,30.25,22.03,15.06,174.4,172.6,3.8,213.45,209.32,8.31,3832.33,3832.0,10.5
REST,small,150,100,3,202.73,202.61,0.34,207.72,207.75,0.19,516.54,516.62,0.82,0.0,0.0,0.0,0.0,0.0,0.0,117.8,117.8,0.8,164.83,161.71,21.97,3628.67,3633.0,21.83
REST,small,150,200,4,241.4,240.13,2.73,260.38,258.84,3.61,861.52,861.61,10.98,0.01,0.01,0.01,0.01,0.01,0.01,183.31,184.06,1.74,215.14,213.6,19.34,3687.5,3642.0,102.76
REST,small,150,400,4,506.22,507.48,5.92,543.83,545.17,7.71,812.9,815.79,6.11,0.43,0.45,0.06,0.43,0.45,0.06,182.57,183.87,5.18,212.53,211.44,8.0,3745.25,3693.0,112.88
REST,small,150,800,4,1013.1,1020.0,13.81,1067.5,1075.0,18.93,795.55,793.33,9.49,26.77,25.28,5.98,26.77,25.28,5.98,174.68,173.59,4.34,212.01,211.33,6.49,3828.75,3789.0,94.82
REST,small,150,1000,3,1283.33,1280.0,5.77,1223.33,1230.0,11.55,784.21,785.1,2.09,52.41,54.64,4.76,52.41,54.64,4.76,175.17,173.58,5.48,208.84,209.85,6.93,3808.33,3807.0,2.31
REST,small,10000,100,3,202.92,202.82,0.35,208.15,208.0,0.35,517.72,517.87,0.71,0.0,0.0,0.0,0.0,0.0,0.0,118.1,118.09,0.05,159.88,150.33,18.43,3564.67,3564.0,22.01
REST,small,10000,200,4,245.88,245.99,3.29,265.79,265.86,4.42,848.98,852.3,18.42,0.01,0.0,0.03,0.01,0.0,0.03,181.23,181.68,2.08,204.85,203.68,16.36,3636.5,3595.5,94.03
REST,small,10000,400,4,503.95,502.7,12.01,542.37,542.94,6.24,810.93,812.38,10.85,0.4,0.39,0.06,0.4,0.39,0.06,185.28,188.18,7.48,215.49,214.3,6.04,3687.75,3646.0,99.46
REST,small,10000,800,4,1007.5,1010.0,5.0,1062.5,1065.0,9.57,789.88,790.31,4.25,24.41,23.34,12.0,24.41,23.34,12.0,181.94,181.49,4.89,215.6,215.74,3.74,3793.5,3757.0,90.16
REST,small,10000,1000,3,1270.0,1270.0,0.0,1173.33,1160.0,23.09,778.87,778.19,1.48,38.89,40.06,4.25,38.89,40.06,4.25,180.83,179.21,4.69,220.81,227.6,16.23,3775.0,3769.0,16.82
